AREA,PERIMETER,__GRID_COD,__CLC_CODE,__LABEL1,__LABEL2,__LABEL3,AreaTOT,PerimetroT,id_grid,Area_m2,Perim_m,AreaSulQua,PerimSulQu,AreaSulPol,PerimSulPo
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,48,1624.440,308.702,1,19,0.000,0.004
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,49,1281.152,211.219,1,13,0.000,0.003
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,50,44583.478,1055.800,28,66,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,65,36941.318,1005.570,23,63,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,66,43229.769,1036.247,27,65,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,67,40754.892,1049.678,25,66,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,68,65663.773,1373.442,41,86,0.002,0.019
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,69,31439.892,864.489,20,54,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,70,19369.982,665.477,12,42,0.001,0.009
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,71,44116.763,1129.435,28,71,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,75,5553.073,378.428,3,24,0.000,0.005
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,76,34304.634,985.295,21,62,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,77,39149.560,1025.312,24,64,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,78,37462.350,1036.723,23,65,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,79,31416.943,878.983,20,55,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,80,41881.697,1041.367,26,65,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,99,38171.844,1107.120,24,69,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,100,26148.295,787.894,16,49,0.001,0.011
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,101,10862.211,502.298,7,31,0.000,0.007
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,102,38699.599,1124.226,24,70,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,111,27279.895,915.473,17,57,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,112,18499.358,707.871,12,44,0.001,0.010
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,113,18673.526,572.846,12,36,0.001,0.008
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,114,36339.301,1107.097,23,69,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,115,22751.328,895.987,14,56,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,116,56.571,45.497,0,3,0.000,0.001
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,117,18177.134,765.202,11,48,0.001,0.010
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,118,28748.889,929.640,18,58,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,138,23937.065,889.360,15,56,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,139,29050.957,922.095,18,58,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,140,4016.581,367.145,3,23,0.000,0.005
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,141,32167.868,964.312,20,60,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,142,38143.904,1079.174,24,67,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,143,44138.033,1097.645,28,69,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,144,21322.224,1088.947,13,68,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,145,39595.052,1144.829,25,72,0.001,0.016
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,156,39131.721,1097.727,24,69,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,157,47700.718,1186.579,30,74,0.001,0.016
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,158,389.899,129.933,0,8,0.000,0.002
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,159,13223.990,922.925,8,58,0.000,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,160,37603.690,1000.459,24,63,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,161,33908.628,1031.909,21,64,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,162,13375.651,617.841,8,39,0.000,0.008
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,163,49695.650,1147.370,31,72,0.001,0.016
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,185,29619.770,789.708,19,49,0.001,0.011
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,186,52067.233,1132.602,33,71,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,187,36644.735,1123.300,23,70,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,188,40957.922,1157.938,26,72,0.001,0.016
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,189,51630.467,1210.877,32,76,0.001,0.017
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,190,29896.774,803.006,19,50,0.001,0.011
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,191,15631.309,664.344,10,42,0.000,0.009
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,192,60050.554,1344.994,38,84,0.002,0.018
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,193,6373.732,430.080,4,27,0.000,0.006
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,195,1229.296,179.823,1,11,0.000,0.002
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,196,21747.319,797.415,14,50,0.001,0.011
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,208,18657.925,721.901,12,45,0.001,0.010
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,209,21286.494,749.080,13,47,0.001,0.010
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,210,29880.461,891.825,19,56,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,211,23045.022,709.272,14,44,0.001,0.010
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,216,24005.303,820.240,15,51,0.001,0.011
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,217,32777.566,1126.449,20,70,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,218,5952.323,386.179,4,24,0.000,0.005
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,219,5161.696,393.271,3,25,0.000,0.005
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,220,30542.460,958.512,19,60,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,243,759.047,159.501,0,10,0.000,0.002
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,244,3967.975,449.131,2,28,0.000,0.006
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,247,25650.338,855.325,16,53,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,248,50299.716,1171.715,31,73,0.001,0.016
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,249,24387.567,759.335,15,47,0.001,0.010
